,image_id,path,diag,target,Class
28,Tumor- (602),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (602).jpg",Tumor,3,Tumor
29,Tumor- (1440),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1440).jpg",Tumor,3,Tumor
30,Tumor- (2214),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2214).jpg",Tumor,3,Tumor
31,Tumor- (1418),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1418).jpg",Tumor,3,Tumor
32,Tumor- (2130),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2130).jpg",Tumor,3,Tumor
33,Tumor- (237),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (237).jpg",Tumor,3,Tumor
34,Tumor- (358),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (358).jpg",Tumor,3,Tumor
35,Tumor- (1668),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1668).jpg",Tumor,3,Tumor
36,Tumor- (235),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (235).jpg",Tumor,3,Tumor
37,Tumor- (633),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (633).jpg",Tumor,3,Tumor
38,Tumor- (550),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (550).jpg",Tumor,3,Tumor
39,Tumor- (960),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (960).jpg",Tumor,3,Tumor
40,Tumor- (698),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (698).jpg",Tumor,3,Tumor
41,Tumor- (176),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (176).jpg",Tumor,3,Tumor
42,Tumor- (359),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (359).jpg",Tumor,3,Tumor
43,Tumor- (882),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (882).jpg",Tumor,3,Tumor
44,Tumor- (982),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (982).jpg",Tumor,3,Tumor
45,Tumor- (1588),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1588).jpg",Tumor,3,Tumor
46,Tumor- (735),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (735).jpg",Tumor,3,Tumor
47,Tumor- (1970),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1970).jpg",Tumor,3,Tumor
48,Tumor- (1787),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1787).jpg",Tumor,3,Tumor
49,Tumor- (2159),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2159).jpg",Tumor,3,Tumor
50,Tumor- (1469),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1469).jpg",Tumor,3,Tumor
51,Tumor- (273),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (273).jpg",Tumor,3,Tumor
52,Tumor- (96),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (96).jpg",Tumor,3,Tumor
53,Tumor- (1344),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1344).jpg",Tumor,3,Tumor
54,Tumor- (497),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (497).jpg",Tumor,3,Tumor
55,Tumor- (996),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (996).jpg",Tumor,3,Tumor
56,Tumor- (1913),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1913).jpg",Tumor,3,Tumor
57,Tumor- (1912),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1912).jpg",Tumor,3,Tumor
58,Tumor- (1496),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1496).jpg",Tumor,3,Tumor
59,Tumor- (1069),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1069).jpg",Tumor,3,Tumor
60,Tumor- (1631),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1631).jpg",Tumor,3,Tumor
61,Tumor- (940),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (940).jpg",Tumor,3,Tumor
62,Tumor- (1793),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1793).jpg",Tumor,3,Tumor
63,Tumor- (84),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (84).jpg",Tumor,3,Tumor
64,Tumor- (1914),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1914).jpg",Tumor,3,Tumor
65,Tumor- (2119),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2119).jpg",Tumor,3,Tumor
66,Tumor- (139),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (139).jpg",Tumor,3,Tumor
67,Tumor- (455),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (455).jpg",Tumor,3,Tumor
68,Tumor- (1071),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1071).jpg",Tumor,3,Tumor
69,Tumor- (428),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (428).jpg",Tumor,3,Tumor
70,Tumor- (708),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (708).jpg",Tumor,3,Tumor
71,Tumor- (2018),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2018).jpg",Tumor,3,Tumor
72,Tumor- (924),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (924).jpg",Tumor,3,Tumor
73,Tumor- (121),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (121).jpg",Tumor,3,Tumor
74,Tumor- (1375),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1375).jpg",Tumor,3,Tumor
75,Tumor- (2210),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2210).jpg",Tumor,3,Tumor
76,Tumor- (1213),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1213).jpg",Tumor,3,Tumor
77,Tumor- (656),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (656).jpg",Tumor,3,Tumor
78,Tumor- (1843),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1843).jpg",Tumor,3,Tumor
79,Tumor- (774),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (774).jpg",Tumor,3,Tumor
80,Tumor- (1477),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1477).jpg",Tumor,3,Tumor
81,Tumor- (1868),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1868).jpg",Tumor,3,Tumor
82,Tumor- (1405),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1405).jpg",Tumor,3,Tumor
83,Tumor- (481),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (481).jpg",Tumor,3,Tumor
84,Tumor- (1875),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1875).jpg",Tumor,3,Tumor
85,Tumor- (1311),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1311).jpg",Tumor,3,Tumor
86,Tumor- (1137),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1137).jpg",Tumor,3,Tumor
87,Tumor- (109),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (109).jpg",Tumor,3,Tumor
88,Tumor- (978),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (978).jpg",Tumor,3,Tumor
89,Tumor- (1934),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1934).jpg",Tumor,3,Tumor
90,Tumor- (294),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (294).jpg",Tumor,3,Tumor
91,Tumor- (1584),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1584).jpg",Tumor,3,Tumor
92,Tumor- (405),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (405).jpg",Tumor,3,Tumor
93,Tumor- (1878),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1878).jpg",Tumor,3,Tumor
94,Tumor- (1249),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1249).jpg",Tumor,3,Tumor
95,Tumor- (38),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (38).jpg",Tumor,3,Tumor
96,Tumor- (74),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (74).jpg",Tumor,3,Tumor
97,Tumor- (931),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (931).jpg",Tumor,3,Tumor
98,Tumor- (1463),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1463).jpg",Tumor,3,Tumor
